pathway,pathwayTitle,total_inchikeys,matched,ratio
WP2636,Common pathways underlying drug addiction,4,1,0.25
WP2679,MHC class II antigen presentation,4,1,0.25
WP2717,Mitochondrial protein import,4,1,0.25
WP2742,Signaling by TGF-beta Receptor Complex,4,1,0.25
WP3151,Semaphorin interactions,4,1,0.25
WP3237,Thyroxine (thyroid hormone) production,4,1,0.25
WP3307,MAPK6/MAPK4 signaling,4,1,0.25
WP3332,RAF-independent MAPK1/3 activation,4,1,0.25
WP3334,Signaling by FGFR4,4,1,0.25
WP3357,RHO GTPases activate PKNs,4,1,0.25
WP3365,RHO GTPases activate ROCKs,4,1,0.25
WP3498,Assembly of the primary cilium,4,1,0.25
WP3795,Striated Muscle Contraction,4,1,0.25
WP3807,Regulation of TP53 Expression and Degradation,4,1,0.25
WP4037,Pyrophosphate hydrolysis,4,1,0.25
WP4069,Regulation of TLR by endogenous ligand,4,1,0.25
WP4087,Keratinization,4,1,0.25
WP4117,Regulation of RUNX1 Expression and Activity,4,1,0.25
WP4120,Signaling by MET,4,1,0.25
WP4121,Neddylation,4,1,0.25
WP4124,Cilium Assembly,4,1,0.25
WP4298,Acute viral myocarditis,4,1,0.25
WP4430,COPII-mediated vesicle transport,4,1,0.25
WP4452,Signaling by NTRK3 (TRKC),4,1,0.25
WP4456,Activation of kainate receptors upon glutamate binding,4,1,0.25
WP4457,GABA receptor activation,4,1,0.25
WP5047,RHOBTB GTPase Cycle,4,1,0.25
WP5181,Roles of ceramides in development of insulin resistance,4,1,0.25
WP5200,Dravet syndrome,4,1,0.25
WP5264,Purinergic signaling elements and coagulation in COVID-19,4,1,0.25
WP5376,17p13.3 (YWHAE) copy number variation,4,1,0.25
WP890,Osteoclast signaling,4,1,0.25
WP27,"Phenylalanine, tyrosine, and tryptophan biosynthesis",29,7,0.2413793103448276
WP3555,Metabolism of polyamines,21,5,0.23809523809523808
WP125,Biogenic amine synthesis,17,4,0.23529411764705882
WP154,Biogenic amine synthesis,17,4,0.23529411764705882
WP171,NAD salvage pathway,17,4,0.23529411764705882
WP2453,TCA cycle and deficiency of pyruvate dehydrogenase complex (PDHc),17,4,0.23529411764705882
WP416,"Histidine, purine, and pyrimidine superpathway",17,4,0.23529411764705882
WP435,One-carbon metabolism,17,4,0.23529411764705882
WP5190,Creatine pathway,17,4,0.23529411764705882
WP522,Biogenic amine synthesis,17,4,0.23529411764705882
WP4157,GABA metabolism (aka GHB),26,6,0.23076923076923078
WP331,Threonine biosynthesis,13,3,0.23076923076923078
WP4292,Methionine metabolism leading to sulfur amino acids and related disorders,22,5,0.22727272727272727
WP4992,Glutamate and glutamine metabolism,22,5,0.22727272727272727
WP5220,Metabolic reprogramming in pancreatic cancer,22,5,0.22727272727272727
WP3168,Biogenic amine synthesis,18,4,0.2222222222222222
WP4917,Proximal tubule transport,18,4,0.2222222222222222
WP550,Biogenic amine synthesis,18,4,0.2222222222222222
WP1531,Vitamin D metabolism,9,2,0.2222222222222222
WP1589,Folate-alcohol and cancer pathway hypotheses,9,2,0.2222222222222222
WP296,TCA cycle - detailed,9,2,0.2222222222222222
WP3120,Folate-alcohol and cancer pathway,9,2,0.2222222222222222
WP3162,Vitamin D metabolism,9,2,0.2222222222222222
WP4129,"Plasma lipoprotein assembly, remodeling, and clearance",9,2,0.2222222222222222
WP463,Purine fermentation,9,2,0.2222222222222222
WP3925,Amino acid metabolism,96,21,0.21875
WP662,Amino acid metabolism,96,21,0.21875
WP4259,Disorders of folate metabolism and transport,23,5,0.21739130434782608
WP4979,Aspartate and asparagine metabolism,23,5,0.21739130434782608
WP5083,Neuroinflammation and glutamatergic signaling,23,5,0.21739130434782608
WP100,Glutathione metabolism,14,3,0.21428571428571427
WP164,Glutathione metabolism,14,3,0.21428571428571427
WP165,Tryptophan biosynthesis,14,3,0.21428571428571427
WP2797,Regulation of lipid metabolism by PPARalpha,14,3,0.21428571428571427
WP3207,Glutathione metabolism,14,3,0.21428571428571427
WP3211,Nucleotide metabolism,14,3,0.21428571428571427
WP4008,NO/cGMP/PKG mediated neuroprotection,14,3,0.21428571428571427
WP472,Phosphatidic acid and phospholipid biosynthesis,14,3,0.21428571428571427
WP5002,Creatine metabolism,14,3,0.21428571428571427
WP3583,Central carbon metabolism,19,4,0.21052631578947367
WP4236,Krebs cycle disorders,19,4,0.21052631578947367
WP2525,"Trans-sulfuration, one-carbon metabolism and related pathways",50,10,0.2
WP4657,22q11.2 copy number variation syndrome,25,5,0.2
WP241,One-carbon metabolism,20,4,0.2
WP2624,TCA cycle (Krebs cycle),20,4,0.2
